price_obs_id,date,year,quarter,ppi_value,realtime_start,realtime_end
PPI-CHEM-2010Q1,2010-01-01,2010,1,261.7,2026-05-27,2026-05-27
PPI-CHEM-2010Q1,2010-02-01,2010,1,269.4,2026-05-27,2026-05-27
PPI-CHEM-2010Q1,2010-03-01,2010,1,273.1,2026-05-27,2026-05-27
PPI-CHEM-2010Q2,2010-04-01,2010,2,275.1,2026-05-27,2026-05-27
PPI-CHEM-2010Q2,2010-05-01,2010,2,271.9,2026-05-27,2026-05-27
PPI-CHEM-2010Q2,2010-06-01,2010,2,264.1,2026-05-27,2026-05-27
PPI-CHEM-2010Q3,2010-07-01,2010,3,257.8,2026-05-27,2026-05-27
PPI-CHEM-2010Q3,2010-08-01,2010,3,260.7,2026-05-27,2026-05-27
PPI-CHEM-2010Q3,2010-09-01,2010,3,264.0,2026-05-27,2026-05-27
PPI-CHEM-2010Q4,2010-10-01,2010,4,268.6,2026-05-27,2026-05-27
PPI-CHEM-2010Q4,2010-11-01,2010,4,278.2,2026-05-27,2026-05-27
PPI-CHEM-2010Q4,2010-12-01,2010,4,285.5,2026-05-27,2026-05-27
PPI-CHEM-2011Q1,2011-01-01,2011,1,297.4,2026-05-27,2026-05-27
PPI-CHEM-2011Q1,2011-02-01,2011,1,311.5,2026-05-27,2026-05-27
PPI-CHEM-2011Q1,2011-03-01,2011,1,317.5,2026-05-27,2026-05-27
PPI-CHEM-2011Q2,2011-04-01,2011,2,332.0,2026-05-27,2026-05-27
PPI-CHEM-2011Q2,2011-05-01,2011,2,341.8,2026-05-27,2026-05-27
PPI-CHEM-2011Q2,2011-06-01,2011,2,339.6,2026-05-27,2026-05-27
PPI-CHEM-2011Q3,2011-07-01,2011,3,338.6,2026-05-27,2026-05-27
PPI-CHEM-2011Q3,2011-08-01,2011,3,337.0,2026-05-27,2026-05-27
PPI-CHEM-2011Q3,2011-09-01,2011,3,336.0,2026-05-27,2026-05-27
PPI-CHEM-2011Q4,2011-10-01,2011,4,325.2,2026-05-27,2026-05-27
PPI-CHEM-2011Q4,2011-11-01,2011,4,315.6,2026-05-27,2026-05-27
PPI-CHEM-2011Q4,2011-12-01,2011,4,304.4,2026-05-27,2026-05-27
PPI-CHEM-2012Q1,2012-01-01,2012,1,308.3,2026-05-27,2026-05-27
PPI-CHEM-2012Q1,2012-02-01,2012,1,314.9,2026-05-27,2026-05-27
PPI-CHEM-2012Q1,2012-03-01,2012,1,327.3,2026-05-27,2026-05-27
PPI-CHEM-2012Q2,2012-04-01,2012,2,328.9,2026-05-27,2026-05-27
PPI-CHEM-2012Q2,2012-05-01,2012,2,321.2,2026-05-27,2026-05-27
PPI-CHEM-2012Q2,2012-06-01,2012,2,299.4,2026-05-27,2026-05-27
PPI-CHEM-2012Q3,2012-07-01,2012,3,294.8,2026-05-27,2026-05-27
PPI-CHEM-2012Q3,2012-08-01,2012,3,295.2,2026-05-27,2026-05-27
PPI-CHEM-2012Q3,2012-09-01,2012,3,299.4,2026-05-27,2026-05-27
PPI-CHEM-2012Q4,2012-10-01,2012,4,300.2,2026-05-27,2026-05-27
PPI-CHEM-2012Q4,2012-11-01,2012,4,296.5,2026-05-27,2026-05-27
PPI-CHEM-2012Q4,2012-12-01,2012,4,297.1,2026-05-27,2026-05-27
PPI-CHEM-2013Q1,2013-01-01,2013,1,305.4,2026-05-27,2026-05-27
PPI-CHEM-2013Q1,2013-02-01,2013,1,315.8,2026-05-27,2026-05-27
PPI-CHEM-2013Q1,2013-03-01,2013,1,309.6,2026-05-27,2026-05-27
PPI-CHEM-2013Q2,2013-04-01,2013,2,303.4,2026-05-27,2026-05-27
PPI-CHEM-2013Q2,2013-05-01,2013,2,303.0,2026-05-27,2026-05-27
PPI-CHEM-2013Q2,2013-06-01,2013,2,303.1,2026-05-27,2026-05-27
PPI-CHEM-2013Q3,2013-07-01,2013,3,299.8,2026-05-27,2026-05-27
PPI-CHEM-2013Q3,2013-08-01,2013,3,299.3,2026-05-27,2026-05-27
PPI-CHEM-2013Q3,2013-09-01,2013,3,298.7,2026-05-27,2026-05-27
PPI-CHEM-2013Q4,2013-10-01,2013,4,294.5,2026-05-27,2026-05-27
PPI-CHEM-2013Q4,2013-11-01,2013,4,290.0,2026-05-27,2026-05-27
PPI-CHEM-2013Q4,2013-12-01,2013,4,292.0,2026-05-27,2026-05-27
PPI-CHEM-2014Q1,2014-01-01,2014,1,295.8,2026-05-27,2026-05-27
PPI-CHEM-2014Q1,2014-02-01,2014,1,298.6,2026-05-27,2026-05-27
PPI-CHEM-2014Q1,2014-03-01,2014,1,291.1,2026-05-27,2026-05-27
PPI-CHEM-2014Q2,2014-04-01,2014,2,294.8,2026-05-27,2026-05-27
PPI-CHEM-2014Q2,2014-05-01,2014,2,289.1,2026-05-27,2026-05-27
PPI-CHEM-2014Q2,2014-06-01,2014,2,289.8,2026-05-27,2026-05-27
PPI-CHEM-2014Q3,2014-07-01,2014,3,295.7,2026-05-27,2026-05-27
PPI-CHEM-2014Q3,2014-08-01,2014,3,296.4,2026-05-27,2026-05-27
PPI-CHEM-2014Q3,2014-09-01,2014,3,293.1,2026-05-27,2026-05-27
PPI-CHEM-2014Q4,2014-10-01,2014,4,284.6,2026-05-27,2026-05-27
PPI-CHEM-2014Q4,2014-11-01,2014,4,275.1,2026-05-27,2026-05-27
PPI-CHEM-2014Q4,2014-12-01,2014,4,263.4,2026-05-27,2026-05-27
PPI-CHEM-2015Q1,2015-01-01,2015,1,242.0,2026-05-27,2026-05-27
PPI-CHEM-2015Q1,2015-02-01,2015,1,242.4,2026-05-27,2026-05-27
PPI-CHEM-2015Q1,2015-03-01,2015,1,244.7,2026-05-27,2026-05-27
PPI-CHEM-2015Q2,2015-04-01,2015,2,245.5,2026-05-27,2026-05-27
PPI-CHEM-2015Q2,2015-05-01,2015,2,248.5,2026-05-27,2026-05-27
PPI-CHEM-2015Q2,2015-06-01,2015,2,251.2,2026-05-27,2026-05-27
PPI-CHEM-2015Q3,2015-07-01,2015,3,251.5,2026-05-27,2026-05-27
PPI-CHEM-2015Q3,2015-08-01,2015,3,245.2,2026-05-27,2026-05-27
PPI-CHEM-2015Q3,2015-09-01,2015,3,236.4,2026-05-27,2026-05-27
PPI-CHEM-2015Q4,2015-10-01,2015,4,235.2,2026-05-27,2026-05-27
PPI-CHEM-2015Q4,2015-11-01,2015,4,234.2,2026-05-27,2026-05-27
PPI-CHEM-2015Q4,2015-12-01,2015,4,230.1,2026-05-27,2026-05-27
PPI-CHEM-2016Q1,2016-01-01,2016,1,223.6,2026-05-27,2026-05-27
PPI-CHEM-2016Q1,2016-02-01,2016,1,219.2,2026-05-27,2026-05-27
PPI-CHEM-2016Q1,2016-03-01,2016,1,221.4,2026-05-27,2026-05-27
PPI-CHEM-2016Q2,2016-04-01,2016,2,224.7,2026-05-27,2026-05-27
PPI-CHEM-2016Q2,2016-05-01,2016,2,226.9,2026-05-27,2026-05-27
PPI-CHEM-2016Q2,2016-06-01,2016,2,227.0,2026-05-27,2026-05-27
PPI-CHEM-2016Q3,2016-07-01,2016,3,225.2,2026-05-27,2026-05-27
PPI-CHEM-2016Q3,2016-08-01,2016,3,226.7,2026-05-27,2026-05-27
PPI-CHEM-2016Q3,2016-09-01,2016,3,229.7,2026-05-27,2026-05-27
PPI-CHEM-2016Q4,2016-10-01,2016,4,232.7,2026-05-27,2026-05-27
PPI-CHEM-2016Q4,2016-11-01,2016,4,238.9,2026-05-27,2026-05-27
PPI-CHEM-2016Q4,2016-12-01,2016,4,241.5,2026-05-27,2026-05-27
PPI-CHEM-2017Q1,2017-01-01,2017,1,241.5,2026-05-27,2026-05-27
PPI-CHEM-2017Q1,2017-02-01,2017,1,248.4,2026-05-27,2026-05-27
PPI-CHEM-2017Q1,2017-03-01,2017,1,253.7,2026-05-27,2026-05-27
PPI-CHEM-2017Q2,2017-04-01,2017,2,255.4,2026-05-27,2026-05-27
PPI-CHEM-2017Q2,2017-05-01,2017,2,253.5,2026-05-27,2026-05-27
PPI-CHEM-2017Q2,2017-06-01,2017,2,251.5,2026-05-27,2026-05-27
PPI-CHEM-2017Q3,2017-07-01,2017,3,247.3,2026-05-27,2026-05-27
PPI-CHEM-2017Q3,2017-08-01,2017,3,252.8,2026-05-27,2026-05-27
PPI-CHEM-2017Q3,2017-09-01,2017,3,254.2,2026-05-27,2026-05-27
PPI-CHEM-2017Q4,2017-10-01,2017,4,258.5,2026-05-27,2026-05-27
PPI-CHEM-2017Q4,2017-11-01,2017,4,265.8,2026-05-27,2026-05-27
PPI-CHEM-2017Q4,2017-12-01,2017,4,266.0,2026-05-27,2026-05-27
PPI-CHEM-2018Q1,2018-01-01,2018,1,268.1,2026-05-27,2026-05-27
PPI-CHEM-2018Q1,2018-02-01,2018,1,270.3,2026-05-27,2026-05-27
PPI-CHEM-2018Q1,2018-03-01,2018,1,272.1,2026-05-27,2026-05-27
PPI-CHEM-2018Q2,2018-04-01,2018,2,269.9,2026-05-27,2026-05-27
PPI-CHEM-2018Q2,2018-05-01,2018,2,270.9,2026-05-27,2026-05-27
PPI-CHEM-2018Q2,2018-06-01,2018,2,272.5,2026-05-27,2026-05-27
PPI-CHEM-2018Q3,2018-07-01,2018,3,274.2,2026-05-27,2026-05-27
PPI-CHEM-2018Q3,2018-08-01,2018,3,279.7,2026-05-27,2026-05-27
PPI-CHEM-2018Q3,2018-09-01,2018,3,283.9,2026-05-27,2026-05-27
PPI-CHEM-2018Q4,2018-10-01,2018,4,286.3,2026-05-27,2026-05-27
PPI-CHEM-2018Q4,2018-11-01,2018,4,277.6,2026-05-27,2026-05-27
PPI-CHEM-2018Q4,2018-12-01,2018,4,262.4,2026-05-27,2026-05-27
PPI-CHEM-2019Q1,2019-01-01,2019,1,259.9,2026-05-27,2026-05-27
PPI-CHEM-2019Q1,2019-02-01,2019,1,257.4,2026-05-27,2026-05-27
PPI-CHEM-2019Q1,2019-03-01,2019,1,258.3,2026-05-27,2026-05-27
PPI-CHEM-2019Q2,2019-04-01,2019,2,259.0,2026-05-27,2026-05-27
PPI-CHEM-2019Q2,2019-05-01,2019,2,254.4,2026-05-27,2026-05-27
PPI-CHEM-2019Q2,2019-06-01,2019,2,253.8,2026-05-27,2026-05-27
PPI-CHEM-2019Q3,2019-07-01,2019,3,249.3,2026-05-27,2026-05-27
PPI-CHEM-2019Q3,2019-08-01,2019,3,245.8,2026-05-27,2026-05-27
PPI-CHEM-2019Q3,2019-09-01,2019,3,242.5,2026-05-27,2026-05-27
