compound,auid,Egap,Egap_type,enthalpy_formation_atom,volume_atom,spacegroup_relax,Pearson_symbol_relax,aurl
Ac1,aflow:075dbbb922a0e4d7,,,0,45.1122,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_GGA:11Apr2000/A1
Ac1,aflow:09380077ea262d8f,,,0,40.4895,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_LDA:12Apr2000/A1
Ac1,aflow:0c60e09656b9e78e,,,0,44.7612,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_PBE:06Sep2000/A1
Ac1,aflow:49d7aeb61659bc7d,,,3.82359,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac:PAW_GGA:11Apr2000/0
Ac1,aflow:4a044c196b4b15ce,,,3.76352,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac:PAW_PBE_KIN:06Sep2000/0
Ac1,aflow:4be5317ee35c8dce,0,metal,5.8e-05,45.4063,225,cF4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ac1_ICSD_43491
Ac1,aflow:58aff4dc11fb19fa,,,0.120949,45.9929,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE_KIN:06Sep2000/A2
Ac1,aflow:5afdc34a65be65c4,,,-3.66e-06,43.9831,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE_KIN:SCAN:06Sep2000/A1
Ac1,aflow:6196002050e22929,,,0.14226,41.0875,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_LDA:12Apr2000/A2
Ac1,aflow:7c40207f9f41880e,,,3.7e-07,45.5358,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE_KIN:06Sep2000/A1
Ac1,aflow:7d3a942b9b455915,,,0,45.4098,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE:06Sep2000/A1
Ac1,aflow:7dd39301db71bad2,,,0.128942,45.4845,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_GGA:11Apr2000/A2
Ac1,aflow:8196d1a193798409,,,3.70326,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac_s:PAW_GGA:11Apr2000/0
Ac1,aflow:84ac38ad725b0312,,,4.51473,4080,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac:PAW_LDA:12Apr2000/0
Ac1,aflow:a4c9f018459b104f,,,0.142041,41.0611,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_LDA_KIN:12Apr2000/A2
Ac1,aflow:a611850bbb184a3d,,,0,44.9982,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_GGA:11Apr2000/A1
Ac1,aflow:aa16b2d5ba70d36f,,,0.143114,41.1332,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_LDA:12Apr2000/A2
Ac1,aflow:b10fdf32165c1364,,,4.49866,3375,,,aflowlib.duke.edu:AFLOWDATA/LIB0_WEB/Ac_s:PAW_LDA:12Apr2000/0
Ac1,aflow:cb881061187b9371,,,3.8e-07,40.4884,225,cF4,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_LDA_KIN:12Apr2000/A1
Ac1,aflow:d143f72f2ec5754c,,,0.120405,45.8766,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac:PAW_PBE:06Sep2000/A2
Ac1,aflow:df4f827388c65966,,,0.125977,45.7523,229,cI2,aflowlib.duke.edu:AFLOWDATA/LIB1_WEB/Ac_s:PAW_PBE:06Sep2000/A2
